Date;Vegetation;Crotaphopeltis_hotamboeia;Dasypeltis_scabra;Homoroselaps_lacteus;Lycodonomorphus_inornatus;Psammophis_crucifer;Psammophis_leightoni;Psammophylax_rhombeatus;Pseudaspis_cana;Rhinotyphlops_lalandei;Naja_nivea;;Date;Crotaphopeltis_hotamboeia;Dasypeltis_scabra;Homoroselaps_lacteus;Lycodonomorphus_inornatus;Psammophis_crucifer;Psammophis_leightoni;Psammophylax_rhombeatus;Pseudaspis_cana;Rhinotyphlops_lalandei;Naja_nivea
01/01/2016;Burnt;0;0;0;0;0;0;0;0;0;0;;01/01/2016;0;0;0;0;0;0;0;0;0;0
01/01/2016;Unburnt;0;0;0;0;0;0;0;0;0;0;;21/01/2016;0;1;0;0;0;0;0;0;0;0
01/01/2016;Cleared;0;0;0;0;0;0;0;0;0;0;;11/04/2016;0;0;0;0;1;0;2;0;0;0
21/01/2016;Burnt;0;1;0;0;0;0;0;0;0;0;;18/04/2016;0;0;1;1;3;2;6;0;0;0
21/01/2016;Unburnt;0;0;0;0;0;0;0;0;0;0;;11/05/2016;0;0;0;0;0;1;5;0;0;0
21/01/2016;Cleared;0;0;0;0;0;0;0;0;0;0;;20/05/2016;0;0;0;0;1;0;2;0;0;0
11/04/2016;Unburnt;0;0;0;0;1;0;1;0;0;0;;03/06/2016;0;0;0;0;1;0;1;0;0;0
11/04/2016;Burnt;0;0;0;0;0;0;1;0;0;0;;24/06/2016;0;0;0;0;1;1;1;0;0;0
11/04/2016;Cleared;0;0;0;0;0;0;0;0;0;0;;02/09/2016;0;0;0;0;1;0;2;0;0;0
18/04/2016;Burnt;0;0;1;1;0;1;3;0;0;0;;18/09/2016;0;3;0;0;2;0;2;0;0;0
18/04/2016;Unburnt;0;0;0;0;3;1;1;0;0;0;;23/09/2016;0;0;0;0;0;0;1;1;0;0
18/04/2016;Cleared;0;0;0;0;0;0;2;0;0;0;;13/02/2017;0;0;0;0;8;1;5;0;0;0
11/05/2016;Burnt;0;0;0;0;0;0;2;0;0;0;;22/04/2017;0;1;0;0;6;1;8;0;0;0
11/05/2016;Unburnt;0;0;0;0;0;1;0;0;0;0;;25/08/2017;0;0;0;0;2;1;4;0;0;0
11/05/2016;Cleared;0;0;0;0;0;0;3;0;0;0;;14/02/2018;0;0;0;0;0;0;3;0;0;0
20/05/2016;Burnt;0;0;0;0;0;0;1;0;0;0;;28/02/2018;0;0;0;0;1;0;3;0;0;0
20/05/2016;Unburnt;0;0;0;0;1;0;1;0;0;0;;14/03/2018;0;0;0;0;3;0;0;0;0;0
20/05/2016;Cleared;0;0;0;0;0;0;0;0;0;0;;29/03/2018;0;0;0;0;3;0;1;0;0;0
03/06/2016;Burnt;0;0;0;0;0;0;1;0;0;0;;11/04/2018;0;0;0;0;1;0;3;0;0;0
03/06/2016;Unburnt;0;0;0;0;1;0;0;0;0;0;;25/04/2018;0;1;0;0;0;0;4;0;0;0
03/06/2016;Cleared;0;0;0;0;0;0;0;0;0;0;;09/05/2018;0;0;0;0;1;0;7;0;0;0
24/06/2016;Unburnt;0;0;0;0;1;0;1;0;0;0;;06/06/2018;0;0;1;0;0;1;2;0;0;0
24/06/2016;Cleared;0;0;0;0;0;1;0;0;0;0;;20/06/2018;0;0;0;2;2;1;1;0;0;0
24/06/2016;Burnt;0;0;0;0;0;0;0;0;0;0;;02/08/2018;0;1;0;0;2;0;3;0;0;1
02/09/2016;Burnt;0;0;0;0;1;0;2;0;0;0;;27/08/2018;0;0;1;0;2;0;0;0;0;0
02/09/2016;Unburnt;0;0;0;0;0;0;0;0;0;0;;12/09/2018;0;0;0;0;0;0;0;1;0;0
02/09/2016;Cleared;0;0;0;0;0;0;0;0;0;0;;26/09/2018;0;0;0;0;0;0;0;1;0;0
18/09/2016;Unburnt;0;2;0;0;1;0;1;0;0;0;;10/10/2018;0;1;0;0;0;0;1;0;0;1
18/09/2016;Cleared;0;1;0;0;1;0;1;0;0;0;;23/10/2018;0;0;0;0;0;0;0;0;1;0
18/09/2016;Burnt;0;0;0;0;0;0;0;0;0;0;;07/11/2018;0;0;0;0;2;0;0;0;0;0
23/09/2016;Burnt;0;0;0;0;0;0;1;1;0;0;;22/11/2018;0;0;0;0;1;2;0;0;0;0
23/09/2016;Cleared;0;0;0;0;0;0;0;0;0;0;;13/12/2018;0;0;0;0;2;0;1;0;1;0
23/09/2016;Unburnt;0;0;0;0;0;0;0;0;0;0;;05/02/2019;0;0;0;0;0;0;0;0;2;0
13/02/2017;Burnt;0;0;0;0;5;1;4;0;0;0;;06/02/2019;0;0;0;0;0;0;0;0;0;0
13/02/2017;Cleared;0;0;0;0;1;0;1;0;0;0;;13/03/2019;1;0;0;0;5;0;2;0;0;0
13/02/2017;Unburnt;0;0;0;0;2;0;0;0;0;0;;29/03/2019;0;0;0;0;2;0;5;0;0;0
22/04/2017;Burnt;0;1;0;0;2;1;6;0;0;0;;24/04/2019;1;0;0;0;1;0;8;0;0;0
22/04/2017;Cleared;0;0;0;0;4;0;2;0;0;0;;10/05/2019;0;0;0;0;2;0;1;0;0;0
22/04/2017;Unburnt;0;0;0;0;0;0;0;0;0;0;;23/05/2019;0;1;0;1;1;0;2;0;0;0
25/08/2017;Unburnt;0;0;0;0;2;1;4;0;0;0;;;;;;;;;;;;
25/08/2017;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
25/08/2017;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
14/02/2018;Unburnt;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;
14/02/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
14/02/2018;Cleared;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
28/02/2018;Burnt;0;0;0;0;1;0;1;0;0;0;;;;;;;;;;;;
28/02/2018;Unburnt;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
28/02/2018;Cleared;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
14/03/2018;Cleared;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;
14/03/2018;Burnt;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;
14/03/2018;Unburnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29/03/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29/03/2018;Unburnt;0;0;0;0;2;0;1;0;0;0;;;;;;;;;;;;
29/03/2018;Cleared;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;
11/04/2018;Burnt;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;
11/04/2018;Cleared;0;0;0;0;1;0;1;0;0;0;;;;;;;;;;;;
11/04/2018;Unburnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
25/04/2018;Burnt;0;0;0;0;0;0;3;0;0;0;;;;;;;;;;;;
25/04/2018;Cleared;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
25/04/2018;Unburnt;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
09/05/2018;Burnt;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
09/05/2018;Unburnt;0;0;0;0;1;0;5;0;0;0;;;;;;;;;;;;
09/05/2018;Cleared;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
06/06/2018;Unburnt;0;0;1;0;0;1;0;0;0;0;;;;;;;;;;;;
06/06/2018;Cleared;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;
06/06/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
20/06/2018;Burnt;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
20/06/2018;Unburnt;0;0;0;2;1;0;0;0;0;0;;;;;;;;;;;;
20/06/2018;Cleared;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;
02/08/2018;Burnt;0;0;0;0;1;0;2;0;0;0;;;;;;;;;;;;
02/08/2018;Unburnt;0;0;0;0;1;0;1;0;0;1;;;;;;;;;;;;
02/08/2018;Cleared;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
27/08/2018;Burnt;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;
27/08/2018;Cleared;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;
27/08/2018;Unburnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
12/09/2018;Burnt;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;
12/09/2018;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
12/09/2018;Unburnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
26/09/2018;Unburnt;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;
26/09/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
26/09/2018;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
10/10/2018;Unburnt;0;1;0;0;0;0;1;0;0;1;;;;;;;;;;;;
10/10/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
10/10/2018;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
23/10/2018;Unburnt;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;
23/10/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
23/10/2018;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
07/11/2018;Unburnt;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;
07/11/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
07/11/2018;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
22/11/2018;Unburnt;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;
22/11/2018;Burnt;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;
22/11/2018;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
13/12/2018;Unburnt;0;0;0;0;0;0;1;0;1;0;;;;;;;;;;;;
13/12/2018;Cleared;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;
13/12/2018;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
05/02/2019;Unburnt;0;0;0;0;0;0;0;0;2;0;;;;;;;;;;;;
05/02/2019;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
05/02/2019;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
06/02/2019;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
06/02/2019;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
06/02/2019;Unburnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
13/03/2019;Burnt;0;0;0;0;3;0;2;0;0;0;;;;;;;;;;;;
13/03/2019;Unburnt;1;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;
13/03/2019;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29/03/2019;Unburnt;0;0;0;0;2;0;2;0;0;0;;;;;;;;;;;;
29/03/2019;Cleared;0;0;0;0;0;0;3;0;0;0;;;;;;;;;;;;
29/03/2019;Burnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
24/04/2019;Cleared;0;0;0;0;0;0;3;0;0;0;;;;;;;;;;;;
24/04/2019;Unburnt;1;0;0;0;1;0;4;0;0;0;;;;;;;;;;;;
24/04/2019;Burnt;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
10/05/2019;Burnt;0;0;0;0;2;0;1;0;0;0;;;;;;;;;;;;
10/05/2019;Cleared;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
10/05/2019;Unburnt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
23/05/2019;Unburnt;0;1;0;1;1;0;0;0;0;0;;;;;;;;;;;;
23/05/2019;Burnt;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
23/05/2019;Cleared;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;
