Month,SR,Site
Apr-17,0,NPR1
May-17,5,NPR1
Jun-17,5,NPR1
Jul-17,5,NPR1
Aug-17,4,NPR1
Sep-17,3,NPR1
Oct-17,5,NPR1
Nov-17,4,NPR1
Dec-17,4,NPR1
Jan-18,4,NPR1
Feb-18,5,NPR1
Mar-18,5,NPR1
Apr-18,4,NPR1
May-18,4,NPR1
Jun-18,2,NPR1
Apr-17,3,NPR2
May-17,3,NPR2
Jun-17,4,NPR2
Jul-17,5,NPR2
Aug-17,3,NPR2
Sep-17,4,NPR2
Oct-17,5,NPR2
Nov-17,2,NPR2
Dec-17,4,NPR2
Jan-18,4,NPR2
Feb-18,5,NPR2
Mar-18,5,NPR2
Apr-18,4,NPR2
May-18,4,NPR2
Jun-18,5,NPR2
Apr-17,2,NPR3
May-17,2,NPR3
Jun-17,4,NPR3
Jul-17,3,NPR3
Aug-17,1,NPR3
Sep-17,2,NPR3
Oct-17,3,NPR3
Nov-17,2,NPR3
Dec-17,4,NPR3
Jan-18,5,NPR3
Feb-18,5,NPR3
Mar-18,5,NPR3
Apr-18,3,NPR3
May-18,4,NPR3
Jun-18,3,NPR3
